Date,value
10/23/2009,80.49
11/4/2009,78.93
11/6/2009,78.65
11/11/2009,78.54
11/13/2009,76.71
11/20/2009,77.45
11/23/2009,79
11/25/2009,77.04
11/30/2009,77.72
12/4/2009,79.3
12/7/2009,77.84
12/8/2009,76.85
12/9/2009,76.21
12/10/2009,73.18
12/11/2009,72.62
12/15/2009,72.45
12/16/2009,73.61
12/17/2009,73.27
12/22/2009,72.92
12/23/2009,74.33
12/28/2009,77.5
12/29/2009,78.15
12/30/2009,79.04
12/31/2009,79.43
1/4/2010,80.07
1/5/2010,80.97
1/6/2010,80.7
1/7/2010,82.45
1/8/2010,81.38
1/11/2010,82.43
1/12/2010,80.82
1/13/2010,79.6
1/14/2010,79.22
1/15/2010,78.21
1/18/2010,77.53
1/19/2010,76.32
1/20/2010,76.68
1/21/2010,76.28
1/22/2010,74.24
1/25/2010,73.33
1/26/2010,73.45
1/27/2010,73.64
1/28/2010,72.74
1/29/2010,72.41
2/1/2010,72.41
2/2/2010,74.37
2/3/2010,77.2
2/4/2010,73.65
2/5/2010,70.77
2/8/2010,70.84
2/9/2010,72
2/10/2010,72.83
2/11/2010,74.26
2/12/2010,73.46
2/15/2010,73.93
2/16/2010,74.53
2/17/2010,76.76
2/18/2010,76.51
2/19/2010,77.62
2/22/2010,78.76
2/23/2010,78.22
2/24/2010,77.36
2/25/2010,77.68
3/1/2010,77.42
3/2/2010,77.99
3/3/2010,79.16
3/4/2010,79.57
3/5/2010,80
3/8/2010,80.96
3/9/2010,80.01
3/10/2010,80.82
3/11/2010,81.21
3/12/2010,81.38
3/15/2010,79.54
3/16/2010,79.77
3/17/2010,81.87
3/18/2010,81.82
3/19/2010,81.16
3/22/2010,79.07
3/23/2010,80.32
3/24/2010,79.53
3/25/2010,79.86
3/26/2010,80.65
3/29/2010,80.26
3/30/2010,81.1
3/31/2010,81.16
4/1/2010,83.65
4/6/2010,86.04
4/7/2010,86.07
4/8/2010,84.93
4/9/2010,85.03
4/12/2010,84.81
4/13/2010,85.06
4/14/2010,86.08
4/15/2010,87.44
4/16/2010,86.71
4/19/2010,84.21
4/20/2010,85.64
4/21/2010,86.19
4/22/2010,85.94
5/25/2010,68.23
5/26/2010,71.67
6/10/2010,75.26
7/5/2010,73.46
7/6/2010,74.47
7/7/2010,73.67
7/8/2010,76.04
7/12/2010,75.75
7/13/2010,76.97
7/14/2010,77.82
7/15/2010,77.8
7/16/2010,77.54
7/19/2010,77.22
7/20/2010,77.18
7/21/2010,78.2
7/22/2010,77.78
7/23/2010,78.82
7/26/2010,78.77
7/27/2010,78.99
7/28/2010,78.15
7/29/2010,78.87
7/30/2010,79.56
8/2/2010,82.09
8/3/2010,84.32
8/4/2010,85.09
8/5/2010,83.36
8/6/2010,83.08
8/9/2010,83.25
8/10/2010,81.51
8/11/2010,80.7
8/12/2010,78.27
8/13/2010,77.47
8/16/2010,77.22
8/17/2010,77.94
8/18/2010,77.05
8/19/2010,77.31
8/20/2010,75.77
8/23/2010,75.67
8/24/2010,73.97
8/25/2010,72.22
8/26/2010,75.73
8/27/2010,76.43
8/30/2010,77.57
8/31/2010,77.77
9/1/2010,77.52
9/2/2010,77.08
9/3/2010,77.8
9/6/2010,78.1
9/7/2010,77.62
9/8/2010,79.36
9/9/2010,79.71
9/10/2010,79.38
9/13/2010,80.36
9/14/2010,80.73
9/15/2010,80.3
9/16/2010,80.73
9/17/2010,79.27
9/20/2010,80.42
9/21/2010,81.09
9/22/2010,79.9
9/23/2010,78.65
9/24/2010,80.08
9/27/2010,80.08
9/28/2010,79.42
9/29/2010,80.2
9/30/2010,82.17
10/4/2010,84.94
10/5/2010,84.92
10/6/2010,85.97
10/7/2010,86.41
10/8/2010,84.19
10/11/2010,85.14
10/12/2010,84.78
10/13/2010,85.73
10/14/2010,85.93
10/15/2010,84.41
10/18/2010,83.21
10/19/2010,83.51
10/20/2010,82.82
10/21/2010,83.54
10/22/2010,82.71
10/25/2010,83.52
10/26/2010,84.03
10/27/2010,83.57
10/28/2010,84.31
10/29/2010,84.17
11/1/2010,85.53
11/2/2010,85.99
11/3/2010,86.63
11/4/2010,88.53
11/5/2010,88.55
11/8/2010,88.61
11/9/2010,89.37
11/10/2010,89.18
11/11/2010,90.16
11/12/2010,87.99
11/15/2010,85.17
11/18/2010,85.24
11/19/2010,84.6
11/22/2010,83.84
11/23/2010,83.89
11/24/2010,85.97
11/25/2010,87.23
11/26/2010,86.27
11/29/2010,87.4
11/30/2010,87.65
12/1/2010,88.17
12/2/2010,90.47
12/3/2010,91.99
12/6/2010,92.83
12/7/2010,93.25
12/8/2010,92.14
12/9/2010,92.03
12/10/2010,92.05
12/13/2010,92.58
12/14/2010,91.99
12/15/2010,91.75
12/16/2010,91.96
12/17/2010,92.74
12/20/2010,92.9
12/23/2010,95.04
12/24/2010,95.09
12/29/2010,94.89
12/30/2010,95.23
12/31/2010,94.01
1/3/2011,97.1
1/4/2011,96.3
1/5/2011,94.74
1/6/2011,97.3
1/7/2011,95.84
1/10/2011,96.11
1/11/2011,97.2
1/12/2011,98.97
1/13/2011,99.16
1/14/2011,99.82
1/17/2011,99.64
1/18/2011,99.1
1/19/2011,99.67
1/20/2011,99.13
1/21/2011,98.69
1/24/2011,99.04
1/25/2011,96.35
1/27/2011,98.96
1/28/2011,98.45
1/31/2011,99.35
2/1/2011,101.33
2/2/2011,102.75
2/3/2011,103.63
2/4/2011,103.02
2/7/2011,101.38
2/8/2011,100.25
2/9/2011,101.71
2/10/2011,103.01
2/14/2011,102.52
2/16/2011,103.63
2/17/2011,105.14
2/18/2011,103.87
2/21/2011,105.65
2/22/2011,108.09
2/23/2011,109.25
2/24/2011,117.24
2/25/2011,114.02
2/28/2011,113.96
3/1/2011,113.95
3/2/2011,116.55
3/3/2011,116.84
3/4/2011,117.23
3/7/2011,119.07
3/8/2011,115.86
3/9/2011,114.8
3/10/2011,116.15
3/11/2011,115.46
3/14/2011,114.44
3/15/2011,112.59
3/16/2011,112.4
3/17/2011,115.18
3/18/2011,116.91
3/21/2011,117.25
3/22/2011,116.18
3/23/2011,117.2
3/24/2011,117.06
3/25/2011,116.88
3/28/2011,116.79
3/29/2011,116.39
3/30/2011,116.88
3/31/2011,118.75
4/1/2011,119.54
4/4/2011,121.62
4/5/2011,122.6
4/6/2011,125.3
4/7/2011,124.85
4/8/2011,127.06
4/11/2011,128.32
4/12/2011,126.19
4/13/2011,124.66
4/14/2011,124.53
4/18/2011,124.85
4/19/2011,122.3
4/20/2011,125.15
4/21/2011,126.58
4/27/2011,126.82
4/28/2011,128.3
4/29/2011,129.03
5/3/2011,128.14
5/4/2011,126.18
5/6/2011,114.53
5/9/2011,116.41
5/10/2011,119.91
5/11/2011,120.72
5/12/2011,116.43
5/13/2011,118.34
5/16/2011,117.25
5/17/2011,115.91
5/18/2011,115.78
5/19/2011,116.77
5/20/2011,116.11
5/23/2011,113.81
5/24/2011,116.28
5/27/2011,112.25
6/9/2011,121.85
6/10/2011,123.1
6/13/2011,122.94
6/14/2011,123.27
6/15/2011,121.95
6/16/2011,117.67
6/17/2011,117.88
6/20/2011,115.64
6/21/2011,115.47
6/22/2011,114.92
6/23/2011,113.88
6/24/2011,109.9
6/27/2011,107.06
6/28/2011,109.37
6/29/2011,113.27
6/30/2011,114.06
7/1/2011,112.9
7/4/2011,114.15
7/5/2011,115.25
7/6/2011,115.51
7/11/2011,119.71
7/12/2011,119.24
7/13/2011,120.76
7/14/2011,120.97
7/15/2011,119.78
7/18/2011,119.99
7/19/2011,120.99
7/20/2011,121.64
7/21/2011,120.98
7/22/2011,121.04
7/25/2011,120.71
7/26/2011,121.05
7/27/2011,120.35
7/28/2011,120.61
7/29/2011,120.42
8/2/2011,118.25
8/4/2011,113.97
8/5/2011,109.69
8/8/2011,107.52
8/9/2011,104.86
8/10/2011,106.64
8/11/2011,108.02
8/12/2011,109.99
8/15/2011,110.65
8/16/2011,110.82
8/17/2011,113.16
8/18/2011,111.43
8/19/2011,109.8
8/22/2011,109.93
8/23/2011,111.66
8/24/2011,112.87
8/25/2011,113.83
8/26/2011,113.6
8/29/2011,115.05
9/1/2011,118.53
9/2/2011,118.12
9/6/2011,115.44
9/7/2011,118.65
9/8/2011,119.77
9/9/2011,117.45
9/12/2011,115.9
9/13/2011,116.8
9/14/2011,116.19
9/15/2011,118.81
9/16/2011,119.96
9/19/2011,117.82
9/20/2011,116.22
9/21/2011,114.88
9/22/2011,113.19
9/23/2011,114.61
9/26/2011,110.64
9/27/2011,111.92
9/28/2011,111.71
9/29/2011,109.67
9/30/2011,107.93
10/4/2011,105.44
10/5/2011,106.72
10/6/2011,106.72
10/7/2011,107.62
10/10/2011,111.68
10/11/2011,112.5
10/12/2011,116.02
10/13/2011,116.15
10/14/2011,118.91
10/17/2011,116.2
10/18/2011,115.19
10/19/2011,115.44
10/20/2011,113.18
10/21/2011,114.76
10/24/2011,114.89
10/25/2011,115.43
10/26/2011,115.24
10/27/2011,115.7
10/28/2011,115.04
10/31/2011,112.72
11/1/2011,110.71
11/2/2011,114.06
11/3/2011,113.62
11/4/2011,115.26
11/9/2011,115.9
11/10/2011,116.77
11/14/2011,117.38
11/15/2011,116.06
11/16/2011,115.63
11/17/2011,113.73
11/18/2011,112.45
11/21/2011,110.84
11/22/2011,111.04
11/23/2011,111.14
11/24/2011,111.02
11/25/2011,110.27
11/28/2011,112.16
11/29/2011,114.48
11/30/2011,115.17
12/1/2011,113.57
12/2/2011,113.01
12/5/2011,114.05
12/6/2011,113.16
12/7/2011,113.68
12/8/2011,112.68
12/9/2011,112.94
12/12/2011,110.61
12/13/2011,111.23
12/14/2011,109.93
12/15/2011,107.72
12/16/2011,107.28
12/19/2011,107.46
12/20/2011,109.68
12/21/2011,110.86
12/22/2011,111.53
12/23/2011,111.77
1/5/2012,116.81
1/6/2012,115.81
1/9/2012,114.75
1/10/2012,114.84
1/11/2012,114.7
1/12/2012,115.3
1/13/2012,112.85
1/16/2012,112.8
1/17/2012,113.77
1/18/2012,113.31
1/19/2012,112.96
1/20/2012,112.3
1/23/2012,112.19
1/24/2012,111.47
1/25/2012,110.42
1/26/2012,112.12
1/27/2012,111.67
2/1/2012,114
2/2/2012,114.46
2/3/2012,115.5
2/7/2012,118.68
2/8/2012,119.56
2/9/2012,121.09
2/10/2012,120.25
2/13/2012,121.71
2/14/2012,120.95
2/15/2012,122.28
2/16/2012,123.67
2/17/2012,123.63
2/20/2012,124.79
2/21/2012,123.62
2/22/2012,124.69
2/23/2012,125.87
2/24/2012,127.84
2/27/2012,127.82
2/28/2012,127.1
2/29/2012,126.04
3/1/2012,126.98
3/2/2012,128.54
3/5/2012,128.14
3/6/2012,128.6
3/7/2012,127.76
3/8/2012,130.04
3/9/2012,130.13
3/12/2012,129.6
3/13/2012,130.37
3/14/2012,130.43
3/15/2012,128.25
3/16/2012,126.71
3/19/2012,128.44
3/20/2012,127.08
3/21/2012,126.97
3/22/2012,125.56
3/23/2012,126.66
3/26/2012,128.17
3/27/2012,128.55
3/28/2012,126.91
3/29/2012,126.59
3/30/2012,126.12
4/2/2012,125.86
4/3/2012,126.8
4/4/2012,126.76
4/5/2012,125.46
4/10/2012,124.65
4/11/2012,123.31
4/12/2012,123.26
4/13/2012,123.62
4/16/2012,123.07
4/17/2012,122.26
4/18/2012,119.08
4/19/2012,119.78
4/20/2012,120.12
